DEPORTISTAS;PESO;LONGITUD1;ALTURA;ANCHO;RENDIMIENTO
ADULTOS;170;19;9.396;3.4104;ALTO
ADULTOS;145;19.8;9.7364;3.1571;ALTO
ADULTOS;200;21.2;10.3458;3.6636;ALTO
ADULTOS;273;23;11.088;4.144;ALTO
ADULTOS;300;24;11.368;4.234;ALTO
JOVENES;5.9;7.5;2.112;1.408;MEDIO
JOVENES;32;12.5;3.528;1.9992;MEDIO
JOVENES;40;13.8;3.824;2.432;MEDIO
JOVENES;51.5;15;4.5924;2.6316;MEDIO
JOVENES;70;15.7;4.588;2.9415;ALTO
JOVENES;100;16.2;5.2224;3.3216;ALTO
JOVENES;78;16.8;5.1992;3.1234;ALTO
JOVENES;80;17.2;5.6358;3.0502;ALTO
JOVENES;85;17.8;5.1376;3.0368;ALTO
JOVENES;85;18.2;5.082;2.772;ALTO
JOVENES;110;19;5.6925;3.555;ALTO
JOVENES;115;19;5.9175;3.3075;ALTO
JOVENES;125;19;5.6925;3.6675;ALTO
JOVENES;130;19.3;6.384;3.534;ALTO
JOVENES;120;20;6.11;3.4075;BAJO
JOVENES;120;20;5.64;3.525;BAJO
JOVENES;130;20;6.11;3.525;MEDIO
JOVENES;135;20;5.875;3.525;MEDIO
JOVENES;110;20;5.5225;3.995;MEDIO
JOVENES;130;20.5;5.856;3.624;MEDIO
JOVENES;150;20.5;6.792;3.624;BAJO
JOVENES;145;20.7;5.9532;3.63;BAJO
JOVENES;150;21;5.2185;3.626;ALTO
JOVENES;170;21.5;6.275;3.725;ALTO
JOVENES;225;22;7.293;3.723;ALTO
JOVENES;145;22;6.375;3.825;ALTO
JOVENES;188;22.6;6.7334;4.1658;ALTO
JOVENES;180;23;6.4395;3.6835;BAJO
JOVENES;197;23.5;6.561;4.239;MEDIO
JOVENES;218;25;7.168;4.144;BAJO
JOVENES;300;25.2;8.323;5.1373;BAJO
JOVENES;260;25.4;7.1672;4.335;ALTO
JOVENES;265;25.4;7.0516;4.335;ALTO
JOVENES;250;25.4;7.2828;4.5662;ALTO
JOVENES;250;25.9;7.8204;4.2042;ALTO
JOVENES;300;26.9;7.5852;4.6354;ALTO
JOVENES;320;27.8;7.6156;4.7716;MEDIO
JOVENES;514;30.5;10.03;6.018;MEDIO
JOVENES;556;32;10.2565;6.3875;MEDIO
JOVENES;840;32.5;11.4884;7.7957;BAJO
JOVENES;685;34;10.881;6.864;ALTO
JOVENES;700;34;10.6091;6.7408;ALTO
JOVENES;700;34.5;10.835;6.2646;ALTO
JOVENES;690;34.6;10.5717;6.3666;ALTO
JOVENES;900;36.5;11.1366;7.4934;ALTO
JOVENES;650;36.5;11.1366;6.003;MEDIO
JOVENES;820;36.6;12.4313;7.3514;MEDIO
JOVENES;850;36.9;11.9286;7.1064;MEDIO
JOVENES;900;37;11.73;7.225;ALTO
JOVENES;1015;37;12.3808;7.4624;ALTO
JOVENES;820;37.1;11.135;6.63;ALTO
JOVENES;1100;39;12.8002;6.8684;ALTO
JOVENES;1000;39.8;11.9328;7.2772;ALTO
JOVENES;1100;40.1;12.5125;7.4165;MEDIO
JOVENES;1000;40.2;12.604;8.142;MEDIO
JOVENES;1000;41.1;12.4888;7.5958;ALTO
ADOLESCENTES;200;30;5.568;3.3756;ALTO
ADOLESCENTES;300;31.7;5.7078;4.158;ALTO
ADOLESCENTES;300;32.7;5.9364;4.3844;ALTO
ADOLESCENTES;300;34.8;6.2884;4.0198;ALTO
ADOLESCENTES;430;35.5;7.29;4.5765;BAJO
ADOLESCENTES;345;36;6.396;3.977;BAJO
ADOLESCENTES;456;40;7.28;4.3225;BAJO
ADOLESCENTES;510;40;6.825;4.459;MEDIO
ADOLESCENTES;540;40.1;7.786;5.1296;MEDIO
ADOLESCENTES;500;42;6.96;4.896;BAJO
ADOLESCENTES;567;43.2;7.792;4.87;ALTO
ADOLESCENTES;770;44.8;7.68;5.376;ALTO
ADOLESCENTES;950;48.3;8.9262;6.1712;ALTO
ADOLESCENTES;1250;52;10.6863;6.9849;ALTO
ADOLESCENTES;1600;56;9.6;6.144;ALTO
ADOLESCENTES;1550;56;9.6;6.144;MEDIO
ADOLESCENTES;1650;59;10.812;7.48;MEDIO
TERCERA EDAD;6.7;9.3;1.7388;1.0476;ALTO
TERCERA EDAD;7.5;10;1.972;1.16;BAJO
TERCERA EDAD;7;10.1;1.7284;1.1484;BAJO
TERCERA EDAD;9.7;10.4;2.196;1.38;BAJO
TERCERA EDAD;9.8;10.7;2.0832;1.2772;BAJO
TERCERA EDAD;8.7;10.8;1.9782;1.2852;BAJO
TERCERA EDAD;10;11.3;2.2139;1.2838;BAJO
TERCERA EDAD;9.9;11.3;2.2139;1.1659;BAJO
TERCERA EDAD;9.8;11.4;2.2044;1.1484;BAJO
TERCERA EDAD;12.2;11.5;2.0904;1.3936;BAJO
TERCERA EDAD;13.4;11.7;2.43;1.269;BAJO
TERCERA EDAD;12.2;12.1;2.277;1.2558;BAJO
TERCERA EDAD;19.7;13.2;2.8728;2.0672;BAJO
TERCERA EDAD;19.9;13.8;2.9322;1.8792;BAJO
